
Processing calcEnergies_frame.C(2)...
1198196 total number of Entries
xtab[i0+1] 	120.678	ytab[i0+1] 	0.0540005
xtab[i0+1] 	123.719	ytab[i0+1] 	0.0560006
xtab[i0+1] 	123.719	ytab[i0+1] 	0.0560006
xtab[i0+1] 	123.719	ytab[i0+1] 	0.0560006
xtab[i0+1] 	123.719	ytab[i0+1] 	0.0560006
xtab[i0+1] 	126.734	ytab[i0+1] 	0.0580006
xtab[i0+1] 	126.734	ytab[i0+1] 	0.0580006
xtab[i0+1] 	129.726	ytab[i0+1] 	0.0600006
xtab[i0+1] 	129.726	ytab[i0+1] 	0.0600006
xtab[i0+1] 	132.696	ytab[i0+1] 	0.0620006
xtab[i0+1] 	132.696	ytab[i0+1] 	0.0620006
xtab[i0+1] 	1751.62	ytab[i0+1] 	1.19001
xtab[i0+1] 	1751.62	ytab[i0+1] 	1.19001
xtab[i0+1] 	1754.64	ytab[i0+1] 	1.19201
xtab[i0+1] 	1754.64	ytab[i0+1] 	1.19201
xtab[i0+1] 	5502.78	ytab[i0+1] 	2.68003
xtab[i0+1] 	5502.78	ytab[i0+1] 	2.68003
xtab[i0+1] 	5509.2	ytab[i0+1] 	2.68203
xtab[i0+1] 	5509.2	ytab[i0+1] 	2.68203
xtab[i0+1] 	0.0780243	ytab[i0+1] 	0.00200002
xtab[i0+1] 	0.0780243	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	35.4971	ytab[i0+1] 	0.00200002
xtab[i0+1] 	45.3685	ytab[i0+1] 	0.00400004
xtab[i0+1] 	45.3685	ytab[i0+1] 	0.00400004
xtab[i0+1] 	45.3685	ytab[i0+1] 	0.00400004
xtab[i0+1] 	45.3685	ytab[i0+1] 	0.00400004
xtab[i0+1] 	55.1814	ytab[i0+1] 	0.00600006
xtab[i0+1] 	55.1814	ytab[i0+1] 	0.00600006
xtab[i0+1] 	55.1814	ytab[i0+1] 	0.00600006
xtab[i0+1] 	55.1814	ytab[i0+1] 	0.00600006
xtab[i0+1] 	64.4014	ytab[i0+1] 	0.00800008
xtab[i0+1] 	64.4014	ytab[i0+1] 	0.00800008
xtab[i0+1] 	73.1191	ytab[i0+1] 	0.0100001
xtab[i0+1] 	73.1191	ytab[i0+1] 	0.0100001
xtab[i0+1] 	73.1191	ytab[i0+1] 	0.0100001
xtab[i0+1] 	73.1191	ytab[i0+1] 	0.0100001
xtab[i0+1] 	81.4365	ytab[i0+1] 	0.0120001
xtab[i0+1] 	81.4365	ytab[i0+1] 	0.0120001
xtab[i0+1] 	89.4308	ytab[i0+1] 	0.0140001
xtab[i0+1] 	89.4308	ytab[i0+1] 	0.0140001
xtab[i0+1] 	89.4308	ytab[i0+1] 	0.0140001
xtab[i0+1] 	89.4308	ytab[i0+1] 	0.0140001
xtab[i0+1] 	97.1595	ytab[i0+1] 	0.0160002
xtab[i0+1] 	97.1595	ytab[i0+1] 	0.0160002
xtab[i0+1] 	104.665	ytab[i0+1] 	0.0180002
xtab[i0+1] 	104.665	ytab[i0+1] 	0.0180002
xtab[i0+1] 	104.665	ytab[i0+1] 	0.0180002
xtab[i0+1] 	104.665	ytab[i0+1] 	0.0180002
xtab[i0+1] 	111.982	ytab[i0+1] 	0.0200002
xtab[i0+1] 	111.982	ytab[i0+1] 	0.0200002
xtab[i0+1] 	119.134	ytab[i0+1] 	0.0220002
xtab[i0+1] 	119.134	ytab[i0+1] 	0.0220002
xtab[i0+1] 	126.143	ytab[i0+1] 	0.0240002
