-29.6907	31		
-29.0722	48		
-28.4536	44		
-27.8351	65		
-27.2165	85		
-26.5979	99		
-25.9794	131		
-25.3608	160		
-24.7423	143		
-24.1237	203		
-23.5052	239		
-22.8866	302		
-22.268	359		
-21.6495	377		
-21.0309	458		
-20.4124	464		
-19.7938	538		
-19.1753	624		
-18.5567	759		
-17.9381	840		
-17.3196	853		
-16.701	1103		
-16.0825	1233		
-15.4639	1612		
-14.8454	1941		
-14.2268	2468		
-13.6082	3217		
-12.9897	4502		
-12.3711	6254		
-11.7526	8824		
-11.134	12320		
-10.5155	17474		
-9.89691	25067		
-9.27835	34499		
-8.65979	47040		
-8.04124	64059		
-7.42268	83444		
-6.80412	106372		
-6.18557	133865		
-5.56701	163064		
-4.94845	195312		
-4.3299	229550		
-3.71134	262526		
-3.09278	293867		
-2.47423	327338		
-1.85567	352889		
-1.23711	377516		
-0.618557	398507		
1.11022e-15	409906		
0.618557	417324		
1.23711	421060		
1.85567	411057		
2.47423	399640		
3.09278	383136		
3.71134	356018		
4.3299	326674		
4.94845	294718		
5.56701	256513		
6.18557	219912		
6.80412	184944		
7.42268	148833		
8.04124	118063		
8.65979	92195		
9.27835	68522		
9.89691	50068		
10.5155	36581		
11.134	25675		
11.7526	17876		
12.3711	12666		
12.9897	8539		
13.6082	6155		
14.2268	3746		
14.8454	3388		
15.4639	2691		
16.0825	2136		
16.701	1682		
17.3196	1434		
17.9381	1176		
18.5567	1050		
19.1753	1005		
19.7938	812		
20.4124	748		
21.0309	649		
21.6495	610		
22.268	538		
22.8866	505		
23.5052	512		
24.1237	417		
24.7423	409		
25.3608	393		
25.9794	318		
26.5979	289		
27.2165	272		
27.8351	237		
28.4536	228		
29.0722	167		
29.6907	150		
