0.0431034	211758		
0.12931	392570		
0.215517	633326		
0.301724	804334		
0.387931	715203		
0.474138	852115		
0.560345	759590		
0.646552	613309		
0.732759	676066		
0.818966	569353		
0.905172	397033		
0.991379	343544		
1.07759	299817		
1.16379	164585		
1.25	142235		
1.33621	101131		
1.42241	57417		
1.50862	37077		
1.59483	24162		
1.68103	13571		
1.76724	8816		
1.85345	6509		
1.93966	3993		
2.02586	3804		
2.11207	2869		
2.19828	2351		
2.28448	2264		
2.37069	2038		
2.4569	1678		
2.5431	1706		
2.62931	1383		
2.71552	1199		
2.80172	1207		
2.88793	1019		
2.97414	820		
3.06034	868		
3.14655	742		
3.23276	578		
3.31897	594		
3.40517	476		
3.49138	363		
3.57759	407		
3.66379	319		
3.75	243		
3.83621	239		
3.92241	178		
4.00862	119		
4.09483	87		
4.18103	36		
4.26724	24		
4.35345	14		
4.43966	2		
4.52586	5		
4.61207	0		
4.69828	0		
4.78448	0		
4.87069	0		
4.9569	0		
