-177	33002		
-171	107675		
-165	108392		
-159	44850		
-153	60667		
-147	117445		
-141	95596		
-135	23763		
-129	71227		
-123	86097		
-117	32469		
-111	73875		
-105	36200		
-99	32179		
-93	486		
-87	196406		
-81	113040		
-75	55680		
-69	61173		
-63	26003		
-57	116651		
-51	80901		
-45	9902		
-39	125999		
-33	49296		
-27	170932		
-21	59682		
-15	141863		
-9	146479		
-3	49146		
3	91964		
9	259243		
15	86300		
21	237018		
27	177004		
33	230402		
39	227186		
45	184201		
51	301919		
57	220555		
63	326661		
69	161932		
75	251722		
81	287544		
87	591377		
93	9151		
99	199737		
105	144874		
111	212655		
117	128810		
123	184890		
129	158539		
135	52599		
141	175763		
147	79596		
153	190432		
159	67543		
165	122504		
171	108379		
177	57570		
